Time: 3.72[s], x=17.92659[m], y=1.13179[m], yaw=0.02942[rad], v=4.79304[m/s], steer=-0.01130[rad], accel=0.07642[m/s^2]
Time: 3.76[s], x=18.11823[m], y=1.13743[m], yaw=0.02855[rad], v=4.79609[m/s], steer=-0.01315[rad], accel=0.07413[m/s^2]
Time: 3.80[s], x=18.30999[m], y=1.14290[m], yaw=0.02754[rad], v=4.79906[m/s], steer=-0.01805[rad], accel=0.07613[m/s^2]
Time: 3.84[s], x=18.50188[m], y=1.14819[m], yaw=0.02616[rad], v=4.80210[m/s], steer=-0.01393[rad], accel=0.07832[m/s^2]
Time: 3.88[s], x=18.69390[m], y=1.15321[m], yaw=0.02508[rad], v=4.80524[m/s], steer=-0.01656[rad], accel=0.07150[m/s^2]
Time: 3.92[s], x=18.88605[m], y=1.15803[m], yaw=0.02381[rad], v=4.80810[m/s], steer=-0.01905[rad], accel=0.05692[m/s^2]
Time: 3.96[s], x=19.07832[m], y=1.16261[m], yaw=0.02235[rad], v=4.81037[m/s], steer=-0.01937[rad], accel=0.04709[m/s^2]
Time: 4.00[s], x=19.27069[m], y=1.16691[m], yaw=0.02086[rad], v=4.81226[m/s], steer=-0.01717[rad], accel=0.04077[m/s^2]
Time: 4.04[s], x=19.46313[m], y=1.17093[m], yaw=0.01953[rad], v=4.81389[m/s], steer=-0.01769[rad], accel=0.04193[m/s^2]
Time: 4.08[s], x=19.65565[m], y=1.17469[m], yaw=0.01817[rad], v=4.81557[m/s], steer=-0.01960[rad], accel=0.03956[m/s^2]
Time: 4.12[s], x=19.84824[m], y=1.17819[m], yaw=0.01666[rad], v=4.81715[m/s], steer=-0.01571[rad], accel=0.04698[m/s^2]
Time: 4.16[s], x=20.04090[m], y=1.18140[m], yaw=0.01545[rad], v=4.81903[m/s], steer=-0.01488[rad], accel=0.04501[m/s^2]
Time: 4.20[s], x=20.23364[m], y=1.18437[m], yaw=0.01430[rad], v=4.82083[m/s], steer=-0.01412[rad], accel=0.04639[m/s^2]
Time: 4.24[s], x=20.42645[m], y=1.18713[m], yaw=0.01321[rad], v=4.82268[m/s], steer=-0.01601[rad], accel=0.04701[m/s^2]
Time: 4.28[s], x=20.61934[m], y=1.18968[m], yaw=0.01198[rad], v=4.82456[m/s], steer=-0.01589[rad], accel=0.04456[m/s^2]
Time: 4.32[s], x=20.81231[m], y=1.19199[m], yaw=0.01075[rad], v=4.82635[m/s], steer=-0.01213[rad], accel=0.04007[m/s^2]
Time: 4.36[s], x=21.00536[m], y=1.19407[m], yaw=0.00981[rad], v=4.82795[m/s], steer=-0.01058[rad], accel=0.03880[m/s^2]
Time: 4.40[s], x=21.19847[m], y=1.19596[m], yaw=0.00900[rad], v=4.82950[m/s], steer=-0.01143[rad], accel=0.03685[m/s^2]
Time: 4.44[s], x=21.39164[m], y=1.19770[m], yaw=0.00811[rad], v=4.83098[m/s], steer=-0.01448[rad], accel=0.03348[m/s^2]
Time: 4.48[s], x=21.58487[m], y=1.19927[m], yaw=0.00699[rad], v=4.83232[m/s], steer=-0.01664[rad], accel=0.03237[m/s^2]
Time: 4.52[s], x=21.77816[m], y=1.20062[m], yaw=0.00571[rad], v=4.83361[m/s], steer=-0.01773[rad], accel=0.02845[m/s^2]
Time: 4.56[s], x=21.97150[m], y=1.20172[m], yaw=0.00433[rad], v=4.83475[m/s], steer=-0.01245[rad], accel=0.02682[m/s^2]
Time: 4.60[s], x=22.16489[m], y=1.20256[m], yaw=0.00337[rad], v=4.83582[m/s], steer=-0.00555[rad], accel=0.02884[m/s^2]
Time: 4.64[s], x=22.35832[m], y=1.20321[m], yaw=0.00294[rad], v=4.83697[m/s], steer=-0.00083[rad], accel=0.02959[m/s^2]
