Time: 3.04[s], x=8.36407[m], y=0.41422[m], yaw=0.02848[rad], v=4.48900[m/s], steer=-0.04016[rad], accel=-0.08029[m/s^2]
Time: 3.08[s], x=8.54356[m], y=0.41934[m], yaw=0.02560[rad], v=4.48579[m/s], steer=-0.05258[rad], accel=-0.06617[m/s^2]
Time: 3.12[s], x=8.72293[m], y=0.42393[m], yaw=0.02182[rad], v=4.48315[m/s], steer=-0.04486[rad], accel=-0.05153[m/s^2]
Time: 3.16[s], x=8.90221[m], y=0.42784[m], yaw=0.01860[rad], v=4.48108[m/s], steer=-0.00935[rad], accel=-0.03329[m/s^2]
Time: 3.20[s], x=9.08143[m], y=0.43117[m], yaw=0.01793[rad], v=4.47975[m/s], steer=0.00974[rad], accel=-0.01990[m/s^2]
Time: 3.24[s], x=9.26059[m], y=0.43439[m], yaw=0.01863[rad], v=4.47896[m/s], steer=0.01651[rad], accel=-0.01104[m/s^2]
Time: 3.28[s], x=9.43971[m], y=0.43772[m], yaw=0.01981[rad], v=4.47852[m/s], steer=0.00637[rad], accel=-0.00774[m/s^2]
Time: 3.32[s], x=9.61882[m], y=0.44127[m], yaw=0.02027[rad], v=4.47821[m/s], steer=-0.01089[rad], accel=0.02095[m/s^2]
Time: 3.36[s], x=9.79791[m], y=0.44490[m], yaw=0.01949[rad], v=4.47904[m/s], steer=-0.03069[rad], accel=0.05067[m/s^2]
Time: 3.40[s], x=9.97704[m], y=0.44839[m], yaw=0.01729[rad], v=4.48107[m/s], steer=-0.04124[rad], accel=0.07432[m/s^2]
Time: 3.44[s], x=10.15625[m], y=0.45149[m], yaw=0.01433[rad], v=4.48404[m/s], steer=-0.03977[rad], accel=0.09209[m/s^2]
Time: 3.48[s], x=10.33560[m], y=0.45406[m], yaw=0.01147[rad], v=4.48773[m/s], steer=-0.02047[rad], accel=0.09973[m/s^2]
Time: 3.52[s], x=10.51510[m], y=0.45612[m], yaw=0.01000[rad], v=4.49172[m/s], steer=0.00168[rad], accel=0.10956[m/s^2]
Time: 3.56[s], x=10.69476[m], y=0.45792[m], yaw=0.01013[rad], v=4.49610[m/s], steer=0.00389[rad], accel=0.12155[m/s^2]
Time: 3.60[s], x=10.87459[m], y=0.45974[m], yaw=0.01041[rad], v=4.50096[m/s], steer=0.01045[rad], accel=0.14482[m/s^2]
Time: 3.64[s], x=11.05462[m], y=0.46161[m], yaw=0.01116[rad], v=4.50675[m/s], steer=-0.00480[rad], accel=0.15384[m/s^2]
Time: 3.68[s], x=11.23488[m], y=0.46363[m], yaw=0.01081[rad], v=4.51291[m/s], steer=-0.01834[rad], accel=0.15022[m/s^2]
Time: 3.72[s], x=11.41538[m], y=0.46558[m], yaw=0.00949[rad], v=4.51892[m/s], steer=-0.03594[rad], accel=0.13677[m/s^2]
Time: 3.76[s], x=11.59613[m], y=0.46729[m], yaw=0.00689[rad], v=4.52439[m/s], steer=-0.03204[rad], accel=0.13266[m/s^2]
Time: 3.80[s], x=11.77710[m], y=0.46854[m], yaw=0.00457[rad], v=4.52969[m/s], steer=-0.02904[rad], accel=0.12724[m/s^2]
Time: 3.84[s], x=11.95829[m], y=0.46937[m], yaw=0.00246[rad], v=4.53478[m/s], steer=-0.01162[rad], accel=0.09990[m/s^2]
Time: 3.88[s], x=12.13968[m], y=0.46981[m], yaw=0.00162[rad], v=4.53878[m/s], steer=0.00206[rad], accel=0.09929[m/s^2]
Time: 3.92[s], x=12.32123[m], y=0.47011[m], yaw=0.00177[rad], v=4.54275[m/s], steer=-0.00083[rad], accel=0.10108[m/s^2]
Time: 3.96[s], x=12.50294[m], y=0.47043[m], yaw=0.00171[rad], v=4.54679[m/s], steer=-0.00320[rad], accel=0.09449[m/s^2]
Time: 4.00[s], x=12.68481[m], y=0.47074[m], yaw=0.00148[rad], v=4.55057[m/s], steer=-0.01847[rad], accel=0.08079[m/s^2]
Time: 4.04[s], x=12.86683[m], y=0.47101[m], yaw=0.00013[rad], v=4.55380[m/s], steer=-0.01950[rad], accel=0.07227[m/s^2]
Time: 4.08[s], x=13.04899[m], y=0.47103[m], yaw=-0.00129[rad], v=4.55669[m/s], steer=-0.02052[rad], accel=0.06548[m/s^2]
Time: 4.12[s], x=13.23125[m], y=0.47080[m], yaw=-0.00279[rad], v=4.55931[m/s], steer=-0.01431[rad], accel=0.05912[m/s^2]
Time: 4.16[s], x=13.41363[m], y=0.47029[m], yaw=-0.00383[rad], v=4.56168[m/s], steer=-0.00505[rad], accel=0.05323[m/s^2]
Time: 4.20[s], x=13.59609[m], y=0.46959[m], yaw=-0.00420[rad], v=4.56381[m/s], steer=-0.00259[rad], accel=0.05004[m/s^2]
Time: 4.24[s], x=13.77864[m], y=0.46882[m], yaw=-0.00439[rad], v=4.56581[m/s], steer=0.00183[rad], accel=0.04073[m/s^2]
Time: 4.28[s], x=13.96127[m], y=0.46802[m], yaw=-0.00426[rad], v=4.56744[m/s], steer=-0.01200[rad], accel=0.02834[m/s^2]
Time: 4.32[s], x=14.14397[m], y=0.46724[m], yaw=-0.00513[rad], v=4.56857[m/s], steer=-0.01833[rad], accel=0.01465[m/s^2]
Time: 4.36[s], x=14.32671[m], y=0.46631[m], yaw=-0.00647[rad], v=4.56916[m/s], steer=-0.02282[rad], accel=0.00347[m/s^2]
Time: 4.40[s], x=14.50947[m], y=0.46512[m], yaw=-0.00814[rad], v=4.56930[m/s], steer=-0.01211[rad], accel=-0.00513[m/s^2]
Time: 4.44[s], x=14.69224[m], y=0.46363[m], yaw=-0.00903[rad], v=4.56909[m/s], steer=0.00107[rad], accel=-0.00421[m/s^2]
Time: 4.48[s], x=14.87499[m], y=0.46198[m], yaw=-0.00895[rad], v=4.56892[m/s], steer=0.01357[rad], accel=-0.00656[m/s^2]
Time: 4.52[s], x=15.05774[m], y=0.46035[m], yaw=-0.00796[rad], v=4.56866[m/s], steer=0.02635[rad], accel=-0.01103[m/s^2]
Time: 4.56[s], x=15.24048[m], y=0.45890[m], yaw=-0.00603[rad], v=4.56822[m/s], steer=0.01675[rad], accel=-0.00279[m/s^2]
Time: 4.60[s], x=15.42321[m], y=0.45779[m], yaw=-0.00480[rad], v=4.56811[m/s], steer=0.00432[rad], accel=0.00634[m/s^2]
Time: 4.64[s], x=15.60593[m], y=0.45692[m], yaw=-0.00449[rad], v=4.56836[m/s], steer=-0.00857[rad], accel=0.00752[m/s^2]
Time: 4.68[s], x=15.78866[m], y=0.45610[m], yaw=-0.00512[rad], v=4.56866[m/s], steer=-0.00077[rad], accel=0.00359[m/s^2]
